hours,dratio1,dratio2,dratio3,dratio4,dratio5,dratio6,dratio7,dratio8,dratio9,dratio10,dratio11,dratio12,dratio13,dratio14,dratio15,dratio16,dratio17,dratio18,dratio19,dratio20
0.0,-0.23067836008483233,-0.20639596071364963,-0.18211420787094568,-0.15783200875016234,-0.13355031439266618,-0.10926863403088838,-0.08498683279021613,-0.060705041425261896,-0.03642306513492244,-0.012141010101494487,0.012141010101494487,0.03642306513492244,0.060705041425261896,0.08498683279021435,0.10926863403089015,0.13355031439266796,0.15783200875016234,0.18211420787094568,0.20639596071364963,0.23067836008483056
1.0,-0.2787072464206979,-0.2493685280296596,-0.22003152046838892,-0.19069459307116965,-0.16135689571197886,-0.13201884726301039,-0.10268166015302604,-0.07334404875377132,-0.04400654871399112,-0.014668862231449253,0.014668862231449253,0.04400654871399112,0.07334404875377132,0.10268166015302782,0.13201884726301216,0.16135689571197886,0.19069459307117143,0.22003152046838892,0.2493685280296596,0.2787072464206979
2.0,-0.3076394346879905,-0.27525559850497494,-0.242873084387222,-0.21048992379899722,-0.17810665049369945,-0.14572318033870957,-0.11334073342962547,-0.0809576395547893,-0.04857476107867953,-0.01619160242420037,0.01619160242420037,0.04857476107867953,0.0809576395547893,0.11334073342962725,0.14572318033870957,0.17810665049369945,0.210489923798999,0.24287308438722377,0.2752555985049767,0.3076394346879887
3.0,-0.3154911198938031,-0.2822816028187187,-0.24907223119103783,-0.21586238737585717,-0.18265254558495236,-0.14944261479826793,-0.11623373550473559,-0.08302406833501585,-0.049814686245529316,-0.0166048753507404,0.0166048753507404,0.049814686245529316,0.08302406833501408,0.11623373550473559,0.14944261479826793,0.18265254558495414,0.21586238737585717,0.24907223119103605,0.2822816028187205,0.3154911198938031
4.0,-0.30172571019808814,-0.26996601541617693,-0.23820446039389864,-0.20644399816908354,-0.17468383261181764,-0.1429224995966809,-0.11116226680598373,-0.07940175500259983,-0.047641269248970275,-0.015880403253589748,0.015880403253589748,0.047641269248970275,0.07940175500259983,0.11116226680598373,0.14292249959668268,0.17468383261181586,0.20644399816908177,0.23820446039389864,0.26996601541617693,0.30172571019808814
5.0,-0.26728601306143673,-0.23915097309389388,-0.21101593080038406,-0.18288080462707867,-0.15474447486159626,-0.12660941650850255,-0.09847412534472078,-0.07033883114121231,-0.042203390357844484,-0.014067783523255883,0.014067783523255883,0.042203390357844484,0.07033883114121409,0.09847412534472255,0.12660941650850432,0.15474447486159448,0.18288080462707867,0.21101593080038228,0.2391509730938921,0.26728601306143673
6.0,-0.2145322569074377,-0.1919499861518119,-0.1693683316192658,-0.14678538351671477,-0.12420317918807022,-0.10162103088928376,-0.07903856593946124,-0.05645633013905638,-0.03387384063456267,-0.011291255509696896,0.011291255509696896,0.03387384063456267,0.05645633013905638,0.07903856593945946,0.10162103088928376,0.12420317918806845,0.14678538351671477,0.16936833161926756,0.1919499861518119,0.21453225690743594
7.0,-0.1470791012326007,-0.1315969894647111,-0.11611494778639475,-0.1006333766248435,-0.08515142587804192,-0.06966931071585947,-0.054187425123274124,-0.03870536214679632,-0.02322323619077693,-0.007741052356912803,0.007741052356912803,0.02322323619077693,0.03870536214679632,0.054187425123274124,0.06966931071585947,0.08515142587804192,0.10063337662484173,0.11611494778639297,0.1315969894647111,0.14707910123259893
8.0,-0.06954800772166436,-0.06222735871378404,-0.05490633674383716,-0.04758564094278839,-0.04026468414532047,-0.03294387994542092,-0.025623049864776704,-0.018302157744614078,-0.010981279801082877,-0.003660428248625891,0.003660428248625891,0.010981279801082877,0.018302157744614078,0.025623049864776704,0.03294387994542092,0.04026468414532047,0.04758564094278839,0.05490633674383716,0.06222735871378404,0.06954800772166436
9.0,0.01274911982545035,0.011407100641957157,0.010065091879059906,0.008723080256434201,0.007381067095575844,0.006039054876584515,0.004697042739859825,0.0033550302931644183,0.0020130182793174356,0.0006710045258842001,-0.0006710045258842001,-0.0020130182793174356,-0.0033550302931644183,-0.004697042739859825,-0.006039054876584515,-0.007381067095575844,-0.008723080256434201,-0.010065091879059906,-0.011407100641957157,-0.01274911982545035
